"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"https://www.google.com/maps/place/Shabari+Pooja+Stores+%26+Kerala+Store/data=!4m7!3m6!1s0x3bcb9a18b057e873:0x892736646c4d762!8m2!3d17.4351189!4d78.4970375!16s%2Fg%2F11bz0s8p0w!19sChIJc-hXsBiayzsRYtfERmZzkgg?authuser=0&hl=en&rclk=1","Shabari Pooja Stores & Kerala Store","4.3","(45)","Religious goods store","17-1-604, Station Road","099492 75852"
"https://www.google.com/maps/place/Dhatri+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb934007794719:0x900cf4fa76e2c557!8m2!3d17.4609434!4d78.3065133!16s%2Fg%2F11px91d3sr!19sChIJGUd5B0CTyzsRV8Xidvr0DJA?authuser=0&hl=en&rclk=1","Dhatri Pooja Samagri","4.6","(123)","Religious goods store","Gopannapalli, Road, beside Akshara Pharmeasy, opp. RAMKY ONE GALAXIA","063009 53172"
"https://www.google.com/maps/place/Sai+Balaji+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9786d078021f:0x46973cf9652f8962!8m2!3d17.37399!4d78.4719163!16s%2Fg%2F1tqfzssw!19sChIJHwJ40IaXyzsRYokvZfk8l0Y?authuser=0&hl=en&rclk=1","Sai Balaji Pooja Samagri","4.6","(20)","Store","15-6-229/1/F, D R Complex & Mama Complex, Begum Bazaar, Begum Bazaar 500012","040 2474 1829"
"https://www.google.com/maps/place/OM+SAI+POOJA+SAMAGRI/data=!4m7!3m6!1s0x3bcb9aa9d0c47ec3:0x5630287016f48bc5!8m2!3d17.5124278!4d78.4754673!16s%2Fg%2F11c138jl7x!19sChIJw37E0KmayzsRxYv0FnAoMFY?authuser=0&hl=en&rclk=1","OM SAI POOJA SAMAGRI","4.3","(15)","Religious goods store","·","063091 30785"
"https://www.google.com/maps/place/Sri+Venkateswara+Pooja+Samagri+Store/data=!4m7!3m6!1s0x3bcb97c7b6f9a70f:0xcb2395a653b55a03!8m2!3d17.3698378!4d78.3862247!16s%2Fg%2F11jcbfhb3r!19sChIJD6f5tseXyzsRA1q1U6aVI8s?authuser=0&hl=en&rclk=1","Sri Venkateswara Pooja Samagri Store","4.8","(47)","Home goods store","·","098663 46038"
"https://www.google.com/maps/place/RAGHAVENDRA+POOJA+STORES/data=!4m7!3m6!1s0x3bcb9b8748206b77:0xf6857cbf026ed483!8m2!3d17.4725619!4d78.5658817!16s%2Fg%2F11_dr745s!19sChIJd2sgSIebyzsRg9RuAr98hfY?authuser=0&hl=en&rclk=1","RAGHAVENDRA POOJA STORES","4.3","(26)","Religious goods store","·","093900 35739"
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb91f9d0e81883:0xed2ee25e2164073b!8m2!3d17.5044275!4d78.3877361!16s%2Fg%2F1tmphzdd!19sChIJgxjo0PmRyzsROwdkIV7iLu0?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri Stores","3.8","(154)","Religious goods store","·",""
"https://www.google.com/maps/place/SRI+VAISHNAVI+POOJA+SAMAGRI,+POOJA+ITEMS/data=!4m7!3m6!1s0x3bcb9fe50e9a5c41:0xb7279b803a922d20!8m2!3d17.3886269!4d78.6080901!16s%2Fg%2F11t9nmthj4!19sChIJQVyaDuWfyzsRIC2SOoCbJ7c?authuser=0&hl=en&rclk=1","SRI VAISHNAVI POOJA SAMAGRI, POOJA ITEMS","4.9","(15)","Religious goods store","11-1/B/11, Bpm green land's colony",""
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb90c8e47adaed:0x83b2a0e4cdc84ff6!8m2!3d17.4349244!4d78.4486378!16s%2Fg%2F11b7xfh9c3!19sChIJ7dp65MiQyzsR9k_IzeSgsoM?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","3.9","(95)","Religious goods store","·","091212 89090"
"https://www.google.com/maps/place/Sri+Yagnaa+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb8d1217100bf7:0x895043f7e304f962!8m2!3d17.5238288!4d78.2987298!16s%2Fg%2F11vswtytgl!19sChIJ9wsQFxKNyzsRYvkE4_dDUIk?authuser=0&hl=en&rclk=1","Sri Yagnaa Pooja Samagri Stores","4.9","(13)","Religious goods store","H.no 16-107/8/1, Plot no 3 ICRISAT colony, Phase 2 near masjid Beeramguda, Ameenpur, Sangareddy","091338 10333"
"https://www.google.com/maps/place/Sri+Sai+Ram+Pooja+Samagri+Stores/data=!4m7!3m6!1s0x3bcb91296826f119:0x3d47a51f430ee131!8m2!3d17.4311563!4d78.4257783!16s%2Fg%2F11bwh5vyc0!19sChIJGfEmaCmRyzsRMeEOQx-lRz0?authuser=0&hl=en&rclk=1","Sri Sai Ram Pooja Samagri Stores","4.1","(63)","Grocery store","·","090304 26427"
"https://www.google.com/maps/place/sri+Shiva+sai+pooja+Store/data=!4m7!3m6!1s0x3bcb99049fb62529:0xc77c5efa75108e2f!8m2!3d17.3857196!4d78.5278531!16s%2Fg%2F11c3t07m8c!19sChIJKSW2nwSZyzsRL44QdfpefMc?authuser=0&hl=en&rclk=1","sri Shiva sai pooja Store","4.7","(13)","Store","near venkatreddynagar busstop","094921 71744"
"https://www.google.com/maps/place/Sri+Durga+bhavani+pooja+samagri/data=!4m7!3m6!1s0x3bcb9178e2f1c045:0x96a8b8fec3de4b10!8m2!3d17.4879035!4d78.3958077!16s%2Fg%2F11tcr0c0jl!19sChIJRcDx4niRyzsREEvew_64qJY?authuser=0&hl=en&rclk=1","Sri Durga bhavani pooja samagri","4.9","(10)","Religious goods store","2-1 2",""
"https://www.google.com/maps/place/Sri+Tulja+Bhavani+Pooja+Stores/data=!4m7!3m6!1s0x3bcb995c40dbb02f:0xf23bfcf8679656fe!8m2!3d17.4240698!4d78.5473536!16s%2Fg%2F1pp2vgv6p!19sChIJL7DbQFyZyzsR_laWZ_j8O_I?authuser=0&hl=en&rclk=1","Sri Tulja Bhavani Pooja Stores","4.1","(47)","Religious goods store","·",""
"https://www.google.com/maps/place/Om+Sri+Sai+Plastics+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb9a7c467f392d:0x4cddf54a3c54b416!8m2!3d17.4709962!4d78.483895!16s%2Fg%2F11bv2dxj9g!19sChIJLTl_RnyayzsRFrRUPEr13Uw?authuser=0&hl=en&rclk=1","Om Sri Sai Plastics Pooja Samagri","4.4","(25)","Store","·","096182 40334"
"https://www.google.com/maps/place/Balaji+pooja+samagri+%26+stationary/data=!4m7!3m6!1s0x3bcb93630b5c4277:0xd63bba2197f704!8m2!3d17.5073645!4d78.3647587!16s%2Fg%2F11sfrsntkj!19sChIJd0JcC2OTyzsRBPeXIbo71gA?authuser=0&hl=en&rclk=1","Balaji pooja samagri & stationary","4.5","(16)","Religious goods store","·","082978 33555"
"https://www.google.com/maps/place/Sri+Vijaya+Pooja+Samagri/data=!4m7!3m6!1s0x3bcb91eadabbfb77:0xf26ff2524a3d5986!8m2!3d17.4941339!4d78.4048587!16s%2Fg%2F1pty8zj5h!19sChIJd_u72uqRyzsRhlk9SlLyb_I?authuser=0&hl=en&rclk=1","Sri Vijaya Pooja Samagri","3.8","(127)","Religious goods store","Near Usha Mullapudi Common, Behind South India Shopping Mall, Usha Mullapudi Road","092461 16722"
"https://www.google.com/maps/place/Sri+Vijayalaxmi+Pooja+Store/data=!4m7!3m6!1s0x3bcb9520ee845dcd:0xc4857be18a2f3e2c!8m2!3d17.3944821!4d78.3743731!16s%2Fg%2F11h00pccvc!19sChIJzV2E7iCVyzsRLD4viuF7hcQ?authuser=0&hl=en&rclk=1","Sri Vijayalaxmi Pooja Store","4.7","(32)","Religious goods store","Neknampur Road Huda, Neknampur","092478 01307"
